,Family,Subfamily,Genus,Species,,Common Name,Habitat,Abundance,Occurrence,F,FE,OP,UG,Remarks
137,Nymphalidae,Satyrinae,Ypthima,huebneri,"Kirby, 1871",Common Four Ring,"Forests, forest edges",Abundant,CN,yes,no,no,no,Very common in late monsoon and winter
138,Nymphalidae,Apaturinae,Euripus,consimilis,"Westwood, 1851",Painted Courtesan,Forests,Rare,RN,yes,no,no,no,One record from Rabandhara (11-11-2022)
139,Papilionidae,Papilioninae,Graphium,agamemnon,"Linnaeus, 1758",Tailed Jay,Forests,Uncommon,UW,yes,yes,no,yes,"Records from forested patches, urban gardens"
140,Papilionidae,Papilioninae,Graphium,doson,Felder 1864,Common Jay,"Forests, forest edges, gardens",Uncommon,UW,yes,yes,no,yes,"Records from forests, forest edges and urban gardens"
141,Papilionidae,Papilioninae,Graphium,nomius,"Esper, 1799",Spot Swordtail,Forests,Rare,RN,yes,no,no,no,Records from Rabandhara and Urladani in April-June
142,Papilionidae,Papilioninae,Pachliopta,aristolochiae,Fabricius 1775,Common Rose,Forest edges,Uncommon,UW,yes,yes,yes,no,"Found actively feeding on flowers in forest edges, degraded patches."
143,Papilionidae,Papilioninae,Papilio,clytia,Linnaeus 1758,Common Mime,"Forests, forest edges",Uncommon,RN,yes,no,no,no,Records from open patches within deciduous forests
144,Papilionidae,Papilioninae,Papilio,crino,Fabricius 1793,Common Banded Peacock,Forests,Common,CW,yes,no,no,yes,"Records from forest patches, commonly seen"
145,Papilionidae,Papilioninae,Papilio,demoleus,"Linnaeus, 1758",Lime Butterfly,"Gardens, Forest edges",Abundant,CW,no,yes,yes,yes,Abundant across habitats
146,Papilionidae,Papilioninae,Papilio,agenor,Cramer 1775,Indian Blue Mormon,"Forests, forest edges",Common,CW,yes,yes,no,yes,Records from forested patches
147,Papilionidae,Papilioninae,Papilio,polytes,Linnaeus 1758,Common Mormon,"Forest edges, grasslands, open habitats, gardens",Abundant,CW,yes,yes,yes,yes,"Abundantly seen, all three female morphs recorded in Kalahandi"
148,Pieridae,Coliadinae,Catopsilia,pomona,"Fabricius, 1775",Common Emigrant,"Forests, forest margins, open habitats, gardens",Abundant,CW,yes,yes,yes,yes,"Abundant, across habitats."
149,Pieridae,Coliadinae,Catopsilia,pyranthe,"Linnaeus, 1758",Mottled Emigrant,Forest clearings,Rare,RN,yes,no,no,no,Rare in Kalahandi.
150,Pieridae,Coliadinae,Eurema,andersoni,"Moore, 1886",One Spot Grass Yellow,"Forests, forest edges",Uncommon,UW,yes,yes,yes,no,Records from forests at low elevations
151,Pieridae,Coliadinae,Eurema,blanda,"Boisduval, 1836",Three Spot Grass Yellow,Forests,Rare,RN,yes,no,no,no,Records from forests at low elevations
152,Pieridae,Coliadinae,Eurema,drona,"Horsfield, 1829",Small Grass Yellow,"Forest clearings,forest edges",Common,UW,no,yes,yes,no,Records from grasslands and open habitats
